Type	EET-gene	Phylum	Normalised relative abundance (%)
Bulk	non	Patescibacteria	1.266850696
Bulk	epili	Patescibacteria	0.412678768
Bulk	non	Patescibacteria	5.288156627
Bulk	non	Patescibacteria	0.077938252
Bulk	non	Patescibacteria	0.204763038
Bulk	epili	Patescibacteria	0.153220861
Bulk	non	Patescibacteria	0.228316586
Bulk	non	Patescibacteria	0.122436632
Bulk	non	Patescibacteria	0.130689115
Bulk	non	Patescibacteria	0.140184295
Bulk	epili	Patescibacteria	0.097661344
Bulk	non	Patescibacteria	0.108417107
Bulk	non	Patescibacteria	0.511572405
Bulk	non	Patescibacteria	0.116195887
Bulk	non	Patescibacteria	0.086610593
Bulk	non	Patescibacteria	0.243177143
Bulk	epili	Patescibacteria	0.130777908
Bulk	non	Patescibacteria	0.323470831
Bulk	epili	Patescibacteria	0.795403622
Bulk	epili	Patescibacteria	0.211211171
Bulk	non	Patescibacteria	0.110679668
Bulk	non	Patescibacteria	0.146677758
Bulk	non	Patescibacteria	0.471310543
Bulk	epili	Patescibacteria	0.091854715
Bulk	epili	Patescibacteria	0.686681993
Bulk	epili	Patescibacteria	0.811814919
Bulk	epili	Patescibacteria	0.390649883
Bulk	epili	Patescibacteria	0.092068359
Bulk	non	Patescibacteria	0.518950808
Bulk	epili	Patescibacteria	0.30670876
Bulk	epili	Patescibacteria	0.428227386
Bulk	epili	Patescibacteria	0.232272839
Bulk	epili	Patescibacteria	0.360975475
Bulk	epili	Patescibacteria	0.125911505
Bulk	non	Patescibacteria	0.128639416
Bulk	epili	Patescibacteria	0.140845048
Bulk	non	Patescibacteria	0.20495992
Bulk	non	Patescibacteria	0.328082661
Bulk	epili	Patescibacteria	0.195698955
GAC	epili	Patescibacteria	0.474593292
GAC	non	Patescibacteria	0.12601883
GAC	non	Patescibacteria	0.16168304
GAC	epili	Patescibacteria	0.179154136
GAC	non	Patescibacteria	0.136598525
GAC	non	Patescibacteria	0.06831003
GAC	epili	Patescibacteria	0.326651788
Bulk	epili	Planctomycetota	0.108411668
GAC	Both	Planctomycetota	0.150936816
GAC	non	Planctomycetota	0.13719178
GAC	non	Planctomycetota	0.648216897
GAC	non	Planctomycetota	0.113614811
Bulk	non	Proteobacteria	0.391572754
Bulk	epili	Proteobacteria	0.804667625
Bulk	non	Proteobacteria	14.36188697
Bulk	non	Proteobacteria	0.410389582
Bulk	non	Proteobacteria	0.079074099
Bulk	non	Proteobacteria	0.092443735
